ORIGEM,DESTINO,NECESSIDADE
TAGUATINGA,TAGUATINGA,ACESSIBILIDADE
TAGUATINGA,TAGUATINGA,CONSERVAÇÃO E MANUTENÇÃO DE VIAS PÚBLICAS
TAGUATINGA,TAGUATINGA,ILUMINAÇÃO PÚBLICA
TAGUATINGA,TAGUATINGA,TRANSPORTE PÚBLICO
CEILÂNDIA,TAGUATINGA,ACESSIBILIDADE
CEILÂNDIA,TAGUATINGA,ILUMINAÇÃO PÚBLICA
CEILÂNDIA,TAGUATINGA,SEGURANÇA
TAGUATINGA,TAGUATINGA,EDUCAÇÃO
TAGUATINGA,TAGUATINGA,SEGURANÇA
TAGUATINGA,TAGUATINGA,OUTROS
TAGUATINGA,TAGUATINGA,ACESSIBILIDADE
TAGUATINGA,TAGUATINGA,ILUMINAÇÃO PÚBLICA
TAGUATINGA,TAGUATINGA,SINALIZAÇÃO URBANA (PLACAS e ETC)
TAGUATINGA,TAGUATINGA,TRANSPORTE PÚBLICO
TAGUATINGA,TAGUATINGA,SEGURANÇA
M. NORTE,TAGUATINGA,ILUMINAÇÃO PÚBLICA
M. NORTE,TAGUATINGA,SEGURANÇA
M. NORTE,TAGUATINGA,OUTROS
GAMA,TAGUATINGA,ACESSIBILIDADE
GAMA,TAGUATINGA,CONSERVAÇÃO E MANUTENÇÃO DE VIAS PÚBLICAS
GAMA,TAGUATINGA,SEGURANÇA
GAMA,TAGUATINGA,OUTROS
TAGUATINGA,TAGUATINGA,SAÚDE
TAGUATINGA,TAGUATINGA,EDUCAÇÃO
TAGUATINGA,TAGUATINGA,ACESSIBILIDADE
TAGUATINGA,TAGUATINGA,SEGURANÇA
ÁGUAS LINDAS,TAGUATINGA,CONSERVAÇÃO E MANUTENÇÃO DE VIAS PÚBLICAS
ÁGUAS LINDAS,TAGUATINGA,ACESSIBILIDADE
ÁGUAS LINDAS,TAGUATINGA,SEGURANÇA
ÁGUAS LINDAS,TAGUATINGA,OUTROS
RIACHO FUNDO,TAGUATINGA,OUTROS
RIACHO FUNDO,TAGUATINGA,OUTROS
SETOR O,TAGUATINGA,ACESSIBILIDADE
SETOR O,TAGUATINGA,ILUMINAÇÃO PÚBLICA
SETOR O,TAGUATINGA,OUTROS
ESTRUTURAL,TAGUATINGA,CONSERVAÇÃO E MANUTENÇÃO DE VIAS PÚBLICAS
ESTRUTURAL,TAGUATINGA,ILUMINAÇÃO PÚBLICA
ESTRUTURAL,TAGUATINGA,SEGURANÇA
ESTRUTURAL,TAGUATINGA,OUTROS
ESTRUTURAL,TAGUATINGA,CONSERVAÇÃO E MANUTENÇÃO DE VIAS PÚBLICAS
ESTRUTURAL,TAGUATINGA,SEGURANÇA
ESTRUTURAL,TAGUATINGA,OUTROS
RECANTO DAS EMAS,TAGUATINGA,LIMPEZA URBANA
RECANTO DAS EMAS,TAGUATINGA,SEGURANÇA
RECANTO DAS EMAS,TAGUATINGA,OUTROS
RECANTO DAS EMAS,TAGUATINGA,OUTROS
TAGUATINGA,TAGUATINGA,ILUMINAÇÃO PÚBLICA
TAGUATINGA,TAGUATINGA,SEGURANÇA
CEILÂNDIA,TAGUATINGA,ACESSIBILIDADE
CEILÂNDIA,TAGUATINGA,OUTROS
ESTRUTURAL,TAGUATINGA,CONSERVAÇÃO E MANUTENÇÃO DE VIAS PÚBLICAS
ESTRUTURAL,TAGUATINGA,SEGURANÇA
VECENTE PIRES,VICENTE PIRES,CONSERVAÇÃO E MANUTENÇÃO DE VIAS PÚBLICAS
VECENTE PIRES,VICENTE PIRES,TRANSPORTE PÚBLICO
VECENTE PIRES,VICENTE PIRES,SAÚDE
VECENTE PIRES,VICENTE PIRES,TRANSPORTE PÚBLICO
VECENTE PIRES,VICENTE PIRES,SAÚDE
VECENTE PIRES,VICENTE PIRES,SEGURANÇA
VECENTE PIRES,VICENTE PIRES,EDUCAÇÃO
VECENTE PIRES,VICENTE PIRES,SEGURANÇA
VECENTE PIRES,VICENTE PIRES,OUTROS
VECENTE PIRES,VICENTE PIRES,EDUCAÇÃO
VECENTE PIRES,VICENTE PIRES,CRECHE
VECENTE PIRES,VICENTE PIRES,ACESSIBILIDADE
VECENTE PIRES,VICENTE PIRES,SINALIZAÇÃO URBANA (PLACAS e ETC)
VECENTE PIRES,VICENTE PIRES,SINALIZAÇÃO URBANA (PLACAS e ETC)
VECENTE PIRES,TAGUATINGA,OUTROS
VECENTE PIRES,VICENTE PIRES,SINALIZAÇÃO URBANA (PLACAS e ETC)
VECENTE PIRES,VICENTE PIRES,CONSERVAÇÃO E MANUTENÇÃO DE VIAS PÚBLICAS
VECENTE PIRES,VICENTE PIRES,ACESSIBILIDADE
VECENTE PIRES,VICENTE PIRES,OUTROS
VECENTE PIRES,VICENTE PIRES,OUTROS
VECENTE PIRES,VICENTE PIRES,OUTROS
VECENTE PIRES,VICENTE PIRES,EDUCAÇÃO
VECENTE PIRES,VICENTE PIRES,CRECHE
VECENTE PIRES,VICENTE PIRES,SAÚDE
SAMAMBAIA,VICENTE PIRES,EDUCAÇÃO
SAMAMBAIA,VICENTE PIRES,SAÚDE
SAMAMBAIA,VICENTE PIRES,SEGURANÇA
VECENTE PIRES,VICENTE PIRES,LIMPEZA URBANA
VECENTE PIRES,VICENTE PIRES,SAÚDE
VECENTE PIRES,VICENTE PIRES,SEGURANÇA
VECENTE PIRES,VICENTE PIRES,EDUCAÇÃO
VECENTE PIRES,VICENTE PIRES,CRECHE
VECENTE PIRES,VICENTE PIRES,LIMPEZA URBANA
VECENTE PIRES,VICENTE PIRES,SAÚDE
VECENTE PIRES,VICENTE PIRES,SEGURANÇA
VECENTE PIRES,VICENTE PIRES,OUTROS
VECENTE PIRES,VICENTE PIRES,EDUCAÇÃO
VECENTE PIRES,VICENTE PIRES,CRECHE
